name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
BLACKOUT,Turnstile,GLOW ON,0bGImSqDB2ebdeoCidUC8o,173279,False,spotify:track:0bGImSqDB2ebdeoCidUC8o,Unknown,0.301,0.807,6,-6.258,1,0.0695,0.000881,0.112,0.0849,0.595,84.051,4
Rhinoceros - Remastered 2011,The Smashing Pumpkins,Gish (Deluxe Edition),1nT1WwzjraW3Iu8Pa8wXEi,390306,False,spotify:track:1nT1WwzjraW3Iu8Pa8wXEi,Unknown,0.31,0.499,9,-7.992,1,0.0374,0.000388,0.665,0.25,0.197,145.575,4
Diamond,All Them Witches,ATW,1zAx94fNMR725rsFiHPG7z,369533,False,spotify:track:1zAx94fNMR725rsFiHPG7z,Unknown,0.805,0.375,7,-11.743,1,0.0403,0.52,0.737,0.122,0.31,112.259,4
BUNKER/PREROLL,mynameisntjmack,BUNKER/PREROLL,7guB5aqvr0dOEvqPtqESKF,120000,True,spotify:track:7guB5aqvr0dOEvqPtqESKF,Unknown,0.869,0.376,11,-8.458,0,0.364,0.112,5.81e-05,0.111,0.879,148.019,4
Coded Theory,Break Science,Coded Theory,4G7vrxdiPyifqe8kLgb4hw,233600,False,spotify:track:4G7vrxdiPyifqe8kLgb4hw,Unknown,0.563,0.672,7,-5.332,0,0.0297,0.17,0.782,0.297,0.296,150.108,4
Everyday People (Remix with B-Real & G.Love),Slightly Stoopid,Everyday People (Remix with B-Real & G. Love),6pReUhCfnH5qxdjsG6vlig,225080,False,spotify:track:6pReUhCfnH5qxdjsG6vlig,Unknown,0.772,0.713,7,-7.151,1,0.0704,0.365,0.00254,0.361,0.848,91.513,4
India,BoomBox,Visions of Backbeat,386CJPc8jgJMRlzhKfWlFO,340826,False,spotify:track:386CJPc8jgJMRlzhKfWlFO,Unknown,0.923,0.339,9,-11.391,1,0.0712,0.0629,0.0299,0.101,0.571,111.013,4
Jungle Lullaby,C.W. Stoneking,Pickathon Music Festival 2009,1GsLD6W59Bc7oZ2HhAi1de,294813,False,spotify:track:1GsLD6W59Bc7oZ2HhAi1de,Unknown,0.393,0.286,0,-13.696,1,0.0442,0.755,0.0747,0.584,0.326,86.352,4
SpottieOttieDopaliscious,Outkast,Big Boi & Dre Present...OutKast,4tmL5YG6fEjPJTtD6TkG5C,357933,False,spotify:track:4tmL5YG6fEjPJTtD6TkG5C,Unknown,0.891,0.725,1,-4.244,1,0.152,0.00537,0.000174,0.0911,0.825,125.077,4
Bium Bium Bambalo,Hilmar Örn Hilmarsson,Angels of the Universe,7pGVbY61BTBOVV0zmYNoMO,413453,False,spotify:track:7pGVbY61BTBOVV0zmYNoMO,Unknown,0.221,0.281,7,-13.163,1,0.0299,0.0871,0.806,0.125,0.0482,95.266,4
Stereo,BoomBox,Visions of Backbeat,6X4f2HyaLrwTVi5juD27jY,346000,False,spotify:track:6X4f2HyaLrwTVi5juD27jY,Unknown,0.887,0.408,2,-10.89,1,0.116,0.118,0.254,0.076,0.555,111.015,4
Midnight on the Run,BoomBox,Visions of Backbeat,5cio8CvmB7nBA1OxiSYqrg,599200,False,spotify:track:5cio8CvmB7nBA1OxiSYqrg,Unknown,0.823,0.455,10,-9.245,0,0.0697,0.0601,0.356,0.124,0.156,102.024,4
Aquemini,Outkast,Aquemini,4V3N5LvUOh3yDPP16cwAhE,319240,True,spotify:track:4V3N5LvUOh3yDPP16cwAhE,Unknown,0.707,0.661,1,-5.711,0,0.39,0.245,0,0.176,0.157,89.197,4
West Savannah,Outkast,Aquemini,5yTQ7Vy6EwKwB64Vho90LI,246280,True,spotify:track:5yTQ7Vy6EwKwB64Vho90LI,Unknown,0.689,0.558,0,-6.565,1,0.437,0.0314,0,0.586,0.473,84.942,4
"Wharf Rat - Live at Fillmore East, New York, NY, April 26, 1971",Grateful Dead,Grateful Dead (Skull & Roses) [Live],0JKWRYAxDyWqS14WmtLFOf,511306,True,spotify:track:0JKWRYAxDyWqS14WmtLFOf,Unknown,0.401,0.561,2,-10.432,1,0.0297,0.118,0.0711,0.0985,0.459,120.117,4
Taking In The Son - Feat. Avion Blackman,Christafari,No Compromise,5pamdkM0Dw0Rm5W2vKWjXZ,330893,False,spotify:track:5pamdkM0Dw0Rm5W2vKWjXZ,Unknown,0.775,0.536,9,-9.85,1,0.0343,0.028,9.01e-06,0.0852,0.784,136.025,4
You And Me,SOJA,Born In Babylon,7ukWTNljvU6pmPkuWN1ZBX,310160,False,spotify:track:7ukWTNljvU6pmPkuWN1ZBX,Unknown,0.921,0.321,4,-7.978,0,0.0365,0.0258,0,0.112,0.435,113.969,4
Moon Socket,STS9,Interplanetary Escape Vehicle,1thQ2svfZnEbf6txlOSKgJ,605106,False,spotify:track:1thQ2svfZnEbf6txlOSKgJ,Unknown,0.428,0.899,2,-9.923,1,0.0572,0.0475,0.875,0.121,0.454,123.922,4
Hubble,STS9,Interplanetary Escape Vehicle,4kOR9DXTbqVOgImMmnQgwS,430186,False,spotify:track:4kOR9DXTbqVOgImMmnQgwS,Unknown,0.312,0.868,2,-8.589,1,0.0495,0.0861,0.782,0.115,0.454,128.562,4
Wika Chikana,STS9,Interplanetary Escape Vehicle,6nE5L2wz5nApkTCy4cscGE,776053,False,spotify:track:6nE5L2wz5nApkTCy4cscGE,Unknown,0.51,0.829,4,-7.802,1,0.0735,0.0756,0.593,0.11,0.825,120.717,4
H.B. Walks To School,STS9,Interplanetary Escape Vehicle,0jWdQmNqrkuCNl7QTYs74K,360320,False,spotify:track:0jWdQmNqrkuCNl7QTYs74K,Unknown,0.307,0.839,2,-8.269,1,0.0434,0.119,0.678,0.246,0.641,159.501,4
Four Year Puma,STS9,Interplanetary Escape Vehicle,3bZ1bl6ajJ4LEnv374vlwG,399186,False,spotify:track:3bZ1bl6ajJ4LEnv374vlwG,Unknown,0.486,0.879,7,-7.644,1,0.0929,0.00914,0.844,0.091,0.687,137.217,4
Tap-In,STS9,Interplanetary Escape Vehicle,4hu8xysNkvKeiWodhKWTdo,164666,False,spotify:track:4hu8xysNkvKeiWodhKWTdo,Unknown,0.554,0.542,9,-11.57,0,0.0515,0.368,0.785,0.28,0.508,84.8,4
Quests,STS9,Interplanetary Escape Vehicle,15aAXHM0vAi4rxqOLoryi0,335640,False,spotify:track:15aAXHM0vAi4rxqOLoryi0,Unknown,0.432,0.743,7,-7.734,1,0.0391,0.254,0.852,0.216,0.572,112.977,3
Evasive Maneuvers,STS9,Interplanetary Escape Vehicle,716qWtMCEm2gPOXFCrkToP,349560,False,spotify:track:716qWtMCEm2gPOXFCrkToP,Unknown,0.471,0.534,8,-10.85,0,0.0336,0.0224,0.863,0.184,0.329,144.419,4
The Mood,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,4yCuBvbBvoJ9eVE7QB2Rkg,155693,True,spotify:track:4yCuBvbBvoJ9eVE7QB2Rkg,Unknown,0.855,0.825,4,-5.964,0,0.0931,0.778,0.0004,0.163,0.68,119.962,4
"Romeo and Juliet Op.64, No.7 - The Prince Gives His Order",Sergei Prokofiev,150 Classical Masterpieces,2nKWvMB3Qm3yZzKaC6258T,165066,False,spotify:track:2nKWvMB3Qm3yZzKaC6258T,Unknown,0.547,0.177,4,-17.409,1,0.0434,0.932,0.963,0.0842,0.305,127.724,4
Carmen - Habanera,Georges Bizet,150 Classical Masterpieces,4mxwON8I3HNewaLqbVZcFe,131706,False,spotify:track:4mxwON8I3HNewaLqbVZcFe,Unknown,0.617,0.00835,2,-24.432,1,0.0443,0.959,0.00194,0.253,0.509,122.929,4
Under My Voodoo,Sublime,Sublime (Deluxe Edition),5DcFyX2TbVoVEFGb3tsYt7,205813,False,spotify:track:5DcFyX2TbVoVEFGb3tsYt7,Unknown,0.347,0.951,9,-5.114,1,0.119,0.00109,0.73,0.658,0.437,103.931,4
Get Ready,Sublime,Sublime (Deluxe Edition),60k29vAmsk7XmPG5pSs7VF,291253,False,spotify:track:60k29vAmsk7XmPG5pSs7VF,Unknown,0.694,0.731,9,-6.184,1,0.0391,0.0171,5.02e-05,0.0685,0.582,82.944,4
